Country,SiteID,SiteName,StudyNumber,Measure_Year,Measure_Month,Measure_DOY,Lat_Original,Long_Original,Latitude,Longitude,RS_Paper,RS_Norm,Tsoil(C),SoilMoisture(%),Meas_Method,IGBP_FromPaper,Ecosystem_type,Leaf_habit,DOY_Frequency,Tm,Comments
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1966,5,136,45.5,-93.17,45.75,-93.25,0.195,1.23,3.03,,IRGA,DBF,Forest,Deciduous,9,11.2,GMC co2/m2/hr to C/m2/day
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1966,5,136,45.5,-93.17,45.75,-93.25,0.25,1.578,3.03,,IRGA,DBF,Forest,Deciduous,9,11.2,GMC co2/m2/hr to C/m2/hr
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1966,5,136,45.5,-93.17,45.75,-93.25,0.35,2.209,3.03,,IRGA,DBF,Forest,Deciduous,9,11.2,GMC co2/m2/hr to C/m2/hr
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1966,5,144,45.5,-93.17,45.75,-93.25,0.464,2.928,4.799,,IRGA,DBF,Forest,Deciduous,9,11.2,GMC co2/m2/hr to C/m2/hr
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1966,5,144,45.5,-93.17,45.75,-93.25,0.394,2.486,4.799,,IRGA,DBF,Forest,Deciduous,9,11.2,GMC co2/m2/hr to C/m2/day
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1966,5,144,45.5,-93.17,45.75,-93.25,0.217,1.369,4.799,,IRGA,DBF,Forest,Deciduous,9,11.2,GMC co2/m2/hr to C/m2/day
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1966,6,157,45.5,-93.17,45.75,-93.25,0.575,3.629,6.729,,IRGA,DBF,Forest,Deciduous,12,19.5,GMC co2/m2/hr to C/m2/day
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1966,6,157,45.5,-93.17,45.75,-93.25,0.518,3.269,6.729,,IRGA,DBF,Forest,Deciduous,12,19.5,GMC co2/m2/hr to C/m2/day
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1966,6,157,45.5,-93.17,45.75,-93.25,0.755,4.765,6.729,,IRGA,DBF,Forest,Deciduous,12,19.5,GMC co2/m2/hr to C/m2/hr
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1966,6,165,45.5,-93.17,45.75,-93.25,0.855,5.396,7.641,,IRGA,DBF,Forest,Deciduous,12,19.5,GMC co2/m2/hr to C/m2/hr
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1966,6,165,45.5,-93.17,45.75,-93.25,0.398,2.512,7.641,,IRGA,DBF,Forest,Deciduous,12,19.5,GMC co2/m2/hr to C/m2/day
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1966,6,165,45.5,-93.17,45.75,-93.25,0.406,2.562,7.641,,IRGA,DBF,Forest,Deciduous,12,19.5,GMC co2/m2/hr to C/m2/day
