StudyNumber,Country,SiteName,SiteID,RS_Paper,RS_Norm,Measure_Year,Measure_Season,Measure_Month,Measure_DOY,Lat_Original,Long_Original,Tsoil(C),SoilMoisture(%),TimeLable,MiddleClimate,MiddleVegType,Meas_Method,Comments
1021,Germany,DE-Ahrweiler,DE-Ahr,,2.661483,1995,Spring,4,118,50.326,7.679,9,,10,Cf,DF,IRGA,
1021,Germany,DE-Ahrweiler,DE-Ahr,,2.904095,1995,Spring,4,118,50.326,7.679,10,,12,Cf,DF,IRGA,
1021,Germany,DE-Ahrweiler,DE-Ahr,,3.293935,1995,Spring,4,118,50.326,7.679,11,,14,Cf,DF,IRGA,
1021,Germany,DE-Ahrweiler,DE-Ahr,,3.420425,1995,Spring,4,118,50.326,7.679,12,,16,Cf,DF,IRGA,
1021,Germany,DE-Ahrweiler,DE-Ahr,,3.398652,1995,Spring,4,118,50.326,7.679,11,,18,Cf,DF,IRGA,
1021,Germany,DE-Ahrweiler,DE-Ahr,,2.651115,1995,Spring,4,118,50.326,7.679,8,,8,Cf,DF,IRGA,
1054,USA,US-HarvardForest,US-Har,,0.653188,1992,Summer,8,243,42.32,-72.11,4.15,,1,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,1.897356,1992,Summer,8,243,42.32,-72.11,12.1,,13,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.798341,1992,Summer,8,243,42.32,-72.11,,,10,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.808709,1992,Summer,8,243,42.32,-72.11,,,22,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.91239,1992,Summer,8,243,42.32,-72.11,11.16,,11,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.725765,1992,Summer,8,243,42.32,-72.11,4.56,,23,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,1.244168,1992,Summer,8,243,42.32,-72.11,,,12,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.611716,1992,Summer,8,243,42.32,-72.11,,,2,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,1.793675,1992,Summer,8,243,42.32,-72.11,,,14,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.549508,1992,Summer,8,243,42.32,-72.11,3.78,,3,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,1.627786,1992,Summer,8,243,42.32,-72.11,10.72,,15,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.476931,1992,Summer,8,243,42.32,-72.11,,,4,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,1.482633,1992,Summer,8,243,42.32,-72.11,,,16,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.414723,1992,Summer,8,243,42.32,-72.11,3.5,,5,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,1.347849,1992,Summer,8,243,42.32,-72.11,8.38,,17,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.425091,1992,Summer,8,243,42.32,-72.11,,,6,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,1.18196,1992,Summer,8,243,42.32,-72.11,,,18,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.508035,1992,Summer,8,243,42.32,-72.11,4.74,,7,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,1.099015,1992,Summer,8,243,42.32,-72.11,6.86,,19,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.59098,1992,Summer,8,243,42.32,-72.11,,,8,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,1.005702,1992,Summer,8,243,42.32,-72.11,,,20,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.663556,1992,Summer,8,243,42.32,-72.11,8.13,,9,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.902022,1992,Summer,8,243,42.32,-72.11,5.57,,21,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.466563,1992,Autumn,9,244,42.32,-72.11,5.13,,1,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,1.316744,1992,Autumn,9,244,42.32,-72.11,12.81,,13,Df,DF,,
